,fgsm_diff,opt_diff,optu_diff,advGAN_diff,advGANU_diff
115,0.5879323,0.47184992,2.4404383,0.08810586,0.19079083
116,0.24508625,0.30105916,1.949644,0.3191369,0.2663694
117,0.19706136,0.30499756,1.7516308,0.25830692,0.25538865
118,0.5488051,0.3905987,1.9893681,0.2941501,0.36386603
119,0.11564064,0.3896357,2.0306463,0.30693725,0.30141732
120,1.1637331,0.44040293,1.9064261,0.30318928,0.3756522
121,0.24779853,0.3404857,1.8545936,0.30051666,0.31763408
122,0.18921733,0.33300242,1.014294,0.21026677,0.1520527
123,0.26303598,0.3093115,1.881907,0.25823137,0.29304805
124,0.30462793,0.3493093,1.9551882,0.32923326,0.22337595
125,0.0014733374,0.35972646,1.7440625,0.24256665,0.2796371
126,0.3202134,0.36532882,1.4957069,0.32838795,0.25851092
127,0.040397383,0.32962427,1.9501609,0.28790227,0.29236335
128,0.12876748,0.35541952,2.023019,0.27463663,0.3496372
129,0.11938515,0.3168093,2.0896187,0.31965292,0.35501313
130,0.047736675,0.30737588,1.9600489,0.31974956,0.29539314
131,0.016002432,0.38286182,2.0088248,0.28749356,0.31183413
132,0.16418183,0.32742426,1.8811097,0.27436602,0.30471134
133,0.52750134,0.30502605,1.6256446,0.27445558,0.26261777
134,0.23791587,0.3291621,1.5209994,0.29731175,0.26945925
135,0.08612734,0.33431947,2.021646,0.357651,0.3636526
136,0.4723794,0.36529887,1.9592674,0.350816,0.35223746
137,0.18067637,0.3109909,1.6296475,0.24403784,0.26061216
138,0.035433933,0.38770083,2.0589068,0.26469442,0.3438626
139,0.17190346,0.38376656,2.0982,0.15997577,0.40762228
140,0.057568863,0.31691337,1.992629,0.2894386,0.2833615
141,0.22103962,0.30171213,1.6753712,0.27549148,0.26022315
142,0.27179852,0.30363432,1.2949568,0.30891684,0.19541019
143,0.15038797,0.3352905,1.6664377,0.22886765,0.23767829
144,0.09541632,0.3670274,2.0165093,0.30262116,0.10097332
145,0.2260961,0.45717156,2.5625024,0.55171835,0.5927796
146,0.67733824,0.4415847,1.6114092,0.21602586,0.17018667
147,0.07390298,0.31320894,1.9864471,0.26326656,0.24458452
148,0.060591996,0.30063462,1.8725524,0.3051212,0.3004652
149,0.20906726,0.351955,1.9692687,0.33621496,0.2707658
150,0.0025296733,0.34531242,2.0374625,0.305453,0.28697234
151,0.66188234,0.3447042,1.7019553,0.2968129,0.21080399
152,0.30946723,0.3243921,2.0055585,0.32397413,0.28748253
153,0.1897494,0.3391729,1.8145578,0.28624392,0.34825695
154,0.6023886,0.4469782,1.9260701,0.2845019,0.33396798
155,0.08152508,0.30452114,1.977977,0.31705365,0.26384875
156,0.059704073,0.3132425,1.9989595,0.3054077,0.2476303
157,0.07181318,0.30721116,1.5128326,0.26930267,0.17770451
158,0.04974222,0.33443558,1.9808292,0.31175846,0.27323276
159,0.3780731,0.3531642,1.6840693,0.29044336,0.3563153
160,0.80482244,0.39966574,1.8723803,0.36828008,0.34400794
161,0.14587139,0.40749806,2.1137183,0.32153136,0.26979566
162,0.08510033,0.3130979,1.9812292,0.2910048,0.30149952
163,0.69615537,0.46606606,1.8162154,0.2716266,0.3788451
164,0.282591,0.3744727,1.6205099,0.28388643,0.30730864
165,0.81225777,0.36054546,1.4970319,0.31150502,0.29707634
166,0.39873862,0.3557734,1.7758194,0.2772746,0.35244322
167,0.26881188,0.3256213,1.3431203,0.27966458,0.116184056
168,0.23557982,0.32735312,1.8540201,0.26428908,0.31022528
169,0.13172024,0.30995917,1.9538978,0.28472427,0.24488175
170,0.89842427,0.33831984,1.7606158,0.29814696,0.3379516
171,0.070816636,0.30679142,1.9881722,0.33744946,0.27332544
172,0.52441084,0.4882427,1.9206585,0.26670682,0.2824388
