threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.77,75,200,644,4293,703,4389,0.014787066246056782,0.03943217665615142,0.12697160883280756,0.8464116719242902,0.13860410094637224,0.8653391167192429
0.78,73,193,636,4280,694,4378,0.014392744479495269,0.03805205047318612,0.1253943217665615,0.8438485804416404,0.13682965299684544,0.8631703470031545
0.79,72,184,631,4274,688,4371,0.014195583596214511,0.03627760252365931,0.12440851735015773,0.8426656151419558,0.13564668769716087,0.8617902208201893
0.8,72,178,627,4258,684,4355,0.014195583596214511,0.03509463722397476,0.1236198738170347,0.8395110410094637,0.13485804416403785,0.8586356466876972
0.81,70,173,618,4248,673,4346,0.013801261829652996,0.03410883280757098,0.12184542586750789,0.8375394321766562,0.13268927444794953,0.8568611987381703
0.8200000000000001,69,167,610,4239,666,4333,0.01360410094637224,0.03292586750788644,0.12026813880126183,0.8357649842271293,0.13130914826498422,0.8542981072555205
0.8300000000000001,69,158,607,4229,663,4323,0.01360410094637224,0.031151419558359622,0.11967665615141956,0.8337933753943217,0.13071766561514195,0.8523264984227129
0.84,68,156,600,4215,655,4308,0.013406940063091483,0.030757097791798107,0.11829652996845426,0.8310331230283912,0.1291403785488959,0.8493690851735016
0.85,67,149,593,4207,647,4298,0.013209779179810725,0.02937697160883281,0.11691640378548895,0.8294558359621451,0.12756309148264985,0.847397476340694
0.86,67,144,586,4192,640,4285,0.013209779179810725,0.028391167192429023,0.11553627760252366,0.8264984227129337,0.12618296529968454,0.8448343848580442
0.87,66,140,581,4187,634,4279,0.013012618296529969,0.027602523659305992,0.11455047318611987,0.82551261829653,0.125,0.8436514195583596
0.88,65,136,575,4181,628,4272,0.012815457413249211,0.026813880126182965,0.11336750788643533,0.8243296529968455,0.12381703470031545,0.8422712933753943
0.89,64,132,567,4164,619,4256,0.012618296529968454,0.026025236593059938,0.11179022082018927,0.8209779179810726,0.12204258675078865,0.8391167192429022
0.9,62,130,560,4150,610,4242,0.01222397476340694,0.025630914826498423,0.11041009463722397,0.818217665615142,0.12026813880126183,0.8363564668769716
0.91,62,126,553,4140,603,4230,0.01222397476340694,0.024842271293375396,0.10902996845425868,0.8162460567823344,0.11888801261829653,0.8339905362776026
0.92,62,121,550,4130,600,4218,0.01222397476340694,0.02385646687697161,0.10843848580441641,0.8142744479495269,0.11829652996845426,0.8316246056782335
0.93,60,118,542,4115,590,4200,0.011829652996845425,0.02326498422712934,0.10686119873817035,0.8113170347003155,0.11632492113564669,0.8280757097791798
0.9400000000000001,60,116,533,4099,581,4184,0.011829652996845425,0.022870662460567823,0.10508675078864353,0.8081624605678234,0.11455047318611987,0.8249211356466877
0.9500000000000001,60,111,526,4089,574,4169,0.011829652996845425,0.021884858044164037,0.10370662460567823,0.8061908517350158,0.11317034700315458,0.8219637223974764
0.96,58,107,518,4076,564,4155,0.011435331230283912,0.02109621451104101,0.10212933753943218,0.8036277602523659,0.111198738170347,0.8192034700315457
0.97,57,103,515,4061,560,4137,0.011238170347003154,0.02030757097791798,0.1015378548895899,0.8006703470031545,0.11041009463722397,0.8156545741324921
0.98,57,96,505,4054,550,4123,0.011238170347003154,0.01892744479495268,0.09956624605678234,0.7992902208201893,0.10843848580441641,0.8128943217665615
0.99,56,93,501,4042,545,4109,0.011041009463722398,0.01833596214511041,0.0987776025236593,0.7969242902208202,0.10745268138801262,0.8101340694006309
1.0,54,88,496,4034,538,4096,0.010646687697160883,0.017350157728706624,0.09779179810725552,0.7953470031545742,0.10607255520504733,0.807570977917981
1.01,54,87,492,4017,534,4078,0.010646687697160883,0.01715299684542587,0.09700315457413249,0.7919952681388013,0.10528391167192429,0.8040220820189274
1.02,52,85,485,4001,525,4060,0.01025236593059937,0.016758675078864353,0.0956230283911672,0.7888406940063092,0.10350946372239747,0.8004731861198738
1.03,52,79,480,3986,520,4039,0.01025236593059937,0.015575709779179811,0.0946372239747634,0.7858832807570978,0.10252365930599369,0.7963328075709779
1.04,51,74,476,3969,515,4019,0.010055205047318612,0.014589905362776025,0.09384858044164038,0.7825315457413249,0.1015378548895899,0.7923895899053628
1.05,50,74,472,3955,511,4005,0.009858044164037854,0.014589905362776025,0.09305993690851735,0.7797712933753943,0.10074921135646688,0.7896293375394322
1.06,49,71,466,3931,505,3980,0.009660883280757098,0.013998422712933754,0.0918769716088328,0.7750394321766562,0.09956624605678234,0.7847003154574133
1.07,48,67,460,3920,498,3966,0.00946372239747634,0.013209779179810725,0.09069400630914827,0.7728706624605678,0.09818611987381703,0.7819400630914827
1.08,47,64,459,3905,496,3948,0.009266561514195583,0.012618296529968454,0.09049684542586751,0.7699132492113565,0.09779179810725552,0.7783911671924291
1.09,47,64,452,3892,489,3935,0.009266561514195583,0.012618296529968454,0.08911671924290221,0.7673501577287066,0.09641167192429022,0.7758280757097792
1.1,47,61,443,3877,480,3917,0.009266561514195583,0.012026813880126183,0.08734227129337539,0.7643927444794952,0.0946372239747634,0.7722791798107256
1.11,47,59,437,3856,474,3895,0.009266561514195583,0.01163249211356467,0.08615930599369086,0.7602523659305994,0.09345425867507887,0.767941640378549
1.12,46,57,431,3840,467,3877,0.009069400630914827,0.011238170347003154,0.08497634069400631,0.7570977917981072,0.09207413249211356,0.7643927444794952
1.1300000000000001,45,52,424,3821,459,3853,0.00887223974763407,0.01025236593059937,0.083596214511041,0.7533517350157729,0.09049684542586751,0.7596608832807571
1.1400000000000001,44,51,421,3800,455,3833,0.008675078864353312,0.010055205047318612,0.08300473186119874,0.749211356466877,0.08970820189274448,0.755717665615142
1.1500000000000001,43,51,411,3788,444,3821,0.008477917981072555,0.010055205047318612,0.08103312302839116,0.7468454258675079,0.08753943217665615,0.7533517350157729
1.16,42,50,403,3773,435,3805,0.008280757097791799,0.009858044164037854,0.07945583596214512,0.7438880126182965,0.08576498422712933,0.7501971608832808
1.17,40,47,399,3759,429,3789,0.007886435331230283,0.009266561514195583,0.07866719242902208,0.7411277602523659,0.0845820189274448,0.7470425867507886
1.18,39,47,393,3742,422,3772,0.007689274447949527,0.009266561514195583,0.07748422712933754,0.737776025236593,0.08320189274447949,0.7436908517350158
1.19,39,47,389,3718,418,3748,0.007689274447949527,0.009266561514195583,0.0766955835962145,0.7330441640378549,0.08241324921135647,0.7389589905362776
1.2,38,42,386,3698,415,3723,0.00749211356466877,0.008280757097791799,0.07610410094637224,0.7291009463722398,0.0818217665615142,0.7340299684542587
1.21,38,42,382,3682,411,3707,0.00749211356466877,0.008280757097791799,0.07531545741324921,0.7259463722397477,0.08103312302839116,0.7308753943217665
