threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.79,72,0,631,85,688,85,0.014195583596214511,0.0,0.12440851735015773,0.016758675078864353,0.13564668769716087,0.016758675078864353
0.8,72,0,627,80,684,80,0.014195583596214511,0.0,0.1236198738170347,0.015772870662460567,0.13485804416403785,0.015772870662460567
0.81,70,0,618,80,673,80,0.013801261829652996,0.0,0.12184542586750789,0.015772870662460567,0.13268927444794953,0.015772870662460567
0.8200000000000001,69,0,610,80,666,80,0.01360410094637224,0.0,0.12026813880126183,0.015772870662460567,0.13130914826498422,0.015772870662460567
0.8300000000000001,69,0,607,80,663,80,0.01360410094637224,0.0,0.11967665615141956,0.015772870662460567,0.13071766561514195,0.015772870662460567
0.84,68,0,600,80,655,80,0.013406940063091483,0.0,0.11829652996845426,0.015772870662460567,0.1291403785488959,0.015772870662460567
0.85,67,0,593,80,647,80,0.013209779179810725,0.0,0.11691640378548895,0.015772870662460567,0.12756309148264985,0.015772870662460567
0.86,67,0,586,80,640,80,0.013209779179810725,0.0,0.11553627760252366,0.015772870662460567,0.12618296529968454,0.015772870662460567
0.87,66,0,581,80,634,80,0.013012618296529969,0.0,0.11455047318611987,0.015772870662460567,0.125,0.015772870662460567
0.88,65,0,575,80,628,80,0.012815457413249211,0.0,0.11336750788643533,0.015772870662460567,0.12381703470031545,0.015772870662460567
0.89,64,0,567,80,619,80,0.012618296529968454,0.0,0.11179022082018927,0.015772870662460567,0.12204258675078865,0.015772870662460567
0.9,62,0,560,80,610,80,0.01222397476340694,0.0,0.11041009463722397,0.015772870662460567,0.12026813880126183,0.015772870662460567
0.91,62,0,553,80,603,80,0.01222397476340694,0.0,0.10902996845425868,0.015772870662460567,0.11888801261829653,0.015772870662460567
0.92,62,0,550,80,600,80,0.01222397476340694,0.0,0.10843848580441641,0.015772870662460567,0.11829652996845426,0.015772870662460567
0.93,60,0,542,80,590,80,0.011829652996845425,0.0,0.10686119873817035,0.015772870662460567,0.11632492113564669,0.015772870662460567
0.9400000000000001,60,0,533,80,581,80,0.011829652996845425,0.0,0.10508675078864353,0.015772870662460567,0.11455047318611987,0.015772870662460567
0.9500000000000001,60,0,526,79,574,79,0.011829652996845425,0.0,0.10370662460567823,0.015575709779179811,0.11317034700315458,0.015575709779179811
0.96,58,0,518,78,564,78,0.011435331230283912,0.0,0.10212933753943218,0.015378548895899053,0.111198738170347,0.015378548895899053
